Museum,Kpi,Number_of_visitors,Date,Comments,Date_Logged,ObjectId,date,self_counts,total_counts,likes_counts,retweet_counts,neutral_counts,positive_counts,negative_counts,Sentiment_value,day,weekend
Bristol Museum,visits,1070.0,2017-10-08,,2017/10/21 15:29:57.919+00,1610,2017-10-08,2.0,2.0,7.0,6.0,1.0,0.0,1.0,-0.3243,Sunday,True
Bristol Museum,visits,847.0,2017-10-10,,2017/10/21 15:27:19.153+00,1945,2017-10-10,2.0,2.0,7.0,5.0,1.0,0.0,1.0,-0.26275,Tuesday,False
Bristol Museum,visits,935.0,2017-10-11,,2017/10/21 15:26:39.901+00,1933,2017-10-11,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,Wednesday,False
Bristol Museum,visits,721.0,2017-10-12,,2017/10/21 15:26:03.233+00,1926,2017-10-12,3.0,0.0,14.0,10.0,0.0,0.0,0.0,,Thursday,False
Bristol Museum,visits,656.0,2017-10-13,,2017/10/21 15:25:35.708+00,1902,2017-10-13,5.0,0.0,10.0,7.0,0.0,0.0,0.0,,Friday,False
Bristol Museum,visits,1587.0,2017-10-14,,2017/10/21 15:24:49.554+00,1886,,,,,,,,,,,False
Bristol Museum,visits,1318.0,2017-10-15,,2017/10/21 15:24:20.993+00,1870,2017-10-15,2.0,3.0,105.0,23.0,0.0,3.0,0.0,0.7145333333333334,Sunday,True
Bristol Museum,visits,847.0,2017-10-17,Figures missing from counters - estimated based on previous week DR,2017/11/13 10:18:22.369+00,1819,2017-10-17,1.0,20.0,22.0,9.0,19.0,1.0,0.0,0.038915,Tuesday,False
Bristol Museum,visits,935.0,2017-10-18,Figures missing from counters - estimated based on previous week DR,2017/11/13 10:19:25.729+00,1804,2017-10-18,3.0,3.0,48.0,36.0,3.0,0.0,0.0,0.0,Wednesday,False
Bristol Museum,visits,844.0,2017-10-19,,2017/10/21 15:17:10.644+00,1794,2017-10-19,3.0,0.0,18.0,15.0,0.0,0.0,0.0,,Thursday,False
Bristol Museum,visits,929.0,2017-10-20,,2017/10/21 15:16:34.059+00,1779,2017-10-20,1.0,1.0,10.0,9.0,1.0,0.0,0.0,0.0,Friday,False
Bristol Museum,visits,2131.0,2017-10-21,half-term first weekend,2017/10/22 09:23:45.898+00,1757,2017-10-21,0.0,8.0,10.0,6.0,6.0,2.0,0.0,0.1961,Saturday,True
Bristol Museum,visits,1535.0,2017-10-22,,2017/11/13 12:27:48.414+00,1737,2017-10-22,3.0,3.0,32.0,14.0,3.0,0.0,0.0,0.0,Sunday,True
Bristol Museum,visits,1795.0,2017-10-23,,2017/11/13 12:28:51.471+00,1662,2017-10-23,5.0,2.0,23.0,20.0,0.0,2.0,0.0,0.40085000000000004,Monday,False
Bristol Museum,visits,1900.0,2017-10-24,,2017/11/13 12:29:18.656+00,1599,2017-10-24,2.0,1.0,11.0,6.0,1.0,0.0,0.0,0.0,Tuesday,False
Bristol Museum,visits,1836.0,2017-10-25,,2017/11/13 12:29:42.447+00,1596,2017-10-25,3.0,3.0,6.0,5.0,2.0,0.0,1.0,-0.10546666666666667,Wednesday,False
Bristol Museum,visits,2116.0,2017-10-26,,2017/11/13 12:30:07.621+00,1593,2017-10-26,3.0,1.0,12.0,4.0,1.0,0.0,0.0,0.0,Thursday,False
Bristol Museum,visits,1599.0,2017-10-27,,2017/11/13 12:30:36.116+00,1590,2017-10-27,5.0,3.0,9.0,5.0,0.0,1.0,2.0,-0.07716666666666666,Friday,False
Bristol Museum,visits,1635.0,2017-10-28,,2017/11/13 12:31:12.415+00,1584,2017-10-28,2.0,2.0,10.0,9.0,1.0,0.0,1.0,-0.1582,Saturday,True
Bristol Museum,visits,2592.0,2017-10-29,,2017/11/13 12:31:37.879+00,1578,2017-10-29,3.0,1.0,42.0,7.0,1.0,0.0,0.0,0.0,Sunday,True
