Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-16T15:01:03.000Z,False,'Creature Creatives' 3 Aug: animal 'wow's & exciting art for 8-13 yrs. Imagination + sense of wonder essential https://bristolmuseums.org.uk/bristol-museum-and-art-gallery/whats-on/creature-creatives/… ^lf,0,1,1,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/886601577603190788,tweet_id:886601577603190788
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-16T11:20:29.000Z,False,Even more #AfricanTextiles delights uncovered in our stores this week for our exhibition next year ^LG,0,2,6,0,['#AfricanTextiles'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/886546070259499008,tweet_id:886546070259499008
Visit Bristol,@VisitBristol,2017-07-16T10:50:06.000Z,False,Dive into the Jurassic deep this summer with Pliosaurus at Bristol Museum & Art Gallery: http://ow.ly/Tmh930drd7c,0,3,4,0,[],[],[],https://pbs.twimg.com/profile_images/508911401197244417/6QyI3meU_normal.jpeg,https://x.com/VisitBristol/status/886538427612712960,tweet_id:886538427612712960
Visual Art Salon,@VisualArtSalon,2017-07-15T14:56:17.000Z,False,"Alice Maud Fanner (British painter) 1865 - 1930
A Winter Morning, Fowey, s.d.Bristol Museum & Art Gallery, United Kingdom",0,1,2,0,[],[],[],https://pbs.twimg.com/profile_images/885266193870970880/MXurLTn3_normal.jpg,https://x.com/VisualArtSalon/status/886237991404011520,tweet_id:886237991404011520
charlie,@charlieLfarley,2017-07-15T08:56:49.000Z,False,@ChubbaNia have you found anywhere near Bristol museum that does any suitable cake?!? Xx,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/2437703912/image_normal.jpg,https://x.com/charlieLfarley/status/886147530878308352,tweet_id:886147530878308352
John Wesley’s New Room,@NewRoomBristol,2017-07-15T08:09:56.000Z,False,"The chapel, cafe and new museum are all open today from 10.30am-4pm. #Bristol #museum #allwelcome",1,4,6,0,"['#Bristol', '#museum', '#allwelcome']",[],[],https://pbs.twimg.com/profile_images/1542393360471756809/v55OLHuw_normal.jpg,https://x.com/NewRoomBristol/status/886135731239997440,tweet_id:886135731239997440
Francisco Ribeiro,@fraveris,2017-07-14T16:30:43.000Z,False,"Alfred Stevens (Belgian,1823-1906)

 - Seascape, Le Tréport　ca.1880
-Bristol Museum and Art Gallery, Bristol, UK",0,0,5,0,[],[],[],https://pbs.twimg.com/profile_images/1270637600622153729/nnag_RM0_normal.jpg,https://x.com/fraveris/status/885899368397668352,tweet_id:885899368397668352
Electronics DC,@ElectronicsDC,2017-07-14T16:12:06.000Z,False,Smithsonian exhibit opens Saturday at Bristol museum - Roanoke Times http://dlvr.it/PVb8VF,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/3240176014/544d2fdbfc72d5340e2e998fb111a792_normal.jpeg,https://x.com/ElectronicsDC/status/885894682126860289,tweet_id:885894682126860289
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-13T15:43:01.000Z,False,"Hi there, that would be Camarasaurus:)",1,1,1,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/885524979235815424,tweet_id:885524979235815424
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-13T13:01:38.000Z,False,We're chuffed to have achieved full accreditation from  alongside    & ,0,10,34,0,[],"['@ace_national', '@mshedbristol', '@BlaiseMuseum', '@RedLodgeMuseum', '@HouseGeorgian']",[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/885484363047206918,tweet_id:885484363047206918
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-12T18:54:18.000Z,False,Our thanks to Roger Ball  & Eastville Memorial Group for a fantastic walk about Victorian pauper burials...not forgotten ^kg,0,0,2,0,[],['@BrisRadHis'],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/885210729053396994,tweet_id:885210729053396994
Bristol Museum & Art Gallery,@bristolmuseum,2017-07-12T15:36:03.000Z,False,Enjoy a magical performance for families inspired by children and our collections. To book your free place: http://ow.ly/rQ5U30dzAZm ^kg,0,1,2,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/885160835726835712,tweet_id:885160835726835712
John Constable,@JohnConstableRA,2017-07-10T15:21:02.000Z,False,"Tennis (triptych) by Eric Ravilious 1930
Tempera on Plywood
(Bristol Museum & Art Gallery)",3,94,136,0,[],[],[],https://pbs.twimg.com/profile_images/378800000826126608/5aba00feabce5ca5c78bdd120adc4bc3_normal.jpeg,https://x.com/JohnConstableRA/status/884432279426170880,tweet_id:884432279426170880
globalmuseum,@globalmuseum,2017-07-07T22:24:02.000Z,False,KUTV 2News Family recalls painful internment-camp era as museum opens Bristol… https://goo.gl/fb/cdnCCL #museum #news,0,0,0,0,"['#museum', '#news']",[],[],https://pbs.twimg.com/profile_images/1547061955692601344/CIBk5g0v_normal.jpg,https://x.com/globalmuseum/status/883451567432716288,tweet_id:883451567432716288
